,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
37,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
43803,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
BookName,Author ,Recommended By,Start Date,End Date,Current Page,Total # of Pages,Status Bar,,Status,Rating,Genre,Who should read this book?
Can't Hurt Me,David Googins,Riki,Jan/1/2025,Jan/29/2025,310,310,,100%,Finished,⭐⭐,Life Advice,People who want to achieve great things in life but lack motivation to do it
To Kill a Mockingbird (Copy 1),Harper Lee,Oprah Winfrey,Feb/1/2025,Jan/15/2025,323,500,,65%,Reading,⭐⭐⭐,Dystopian,"Anyone interested in justice, morality, and empathy"
1984 (Copy 1),George Orwell,Bill Gates,Jan/18/2024,Feb/15/2025,92,324,,28%,Reading,⭐⭐⭐⭐,Romance,"Readers curious about politics, freedom, and control"
Pride and Prejudice (Copy 1),Jane Austen,Reese Witherspoon,Jan/20/2024,Feb/1/2024,328,328,,100%,Finished,⭐⭐,Horror,Lovers of witty dialogue and classic romance
The Great Gatsby (Copy 1),F. Scott Fitzgerald,Barack Obama,Jan/9/2024,Feb/3/2024,139,279,,50%,Reading,⭐⭐⭐⭐⭐,Science Fiction,"Readers exploring ambition, wealth, and the American Dream"
The Catcher in the Rye (Copy 1),J.D. Salinger,John Green,Jan/22/2024,Jan/23/2024,135,180,,75%,Reading,⭐⭐⭐⭐⭐,Adventure,Teens and adults navigating identity and alienation
Moby Dick (Copy 1),Herman Melville,Ernest Hemingway,Jan/23/2024,Feb/5/2024,277,277,,100%,Finished,⭐⭐⭐⭐,Romance,Readers who enjoy symbolism and epic sea adventures
The Hobbit (Copy 1),J.R.R. Tolkien,Stephen Colbert,Jan/14/2024,Feb/6/2024,109,585,,19%,DNF,⭐⭐,Science Fiction,Fans of fantasy and adventure stories
Fahrenheit 451 (Copy 1),Ray Bradbury,Neil Gaiman,Jan/17/2024,Jan/28/2024,43,310,,14%,Must Read,⭐⭐⭐⭐⭐,Romance,Readers interested in censorship and freedom of thought
Jane Eyre (Copy 1),Charlotte BrontÃ«,Emma Watson,Jan/22/2024,Jan/31/2024,212,249,,85%,Reading,⭐⭐⭐⭐,Science Fiction,"Readers exploring love, morality, and independence"
War and Peace (Copy 1),Leo Tolstoy,Oprah Winfrey,Feb/4/2024,Feb/5/2024,190,507,,37%,Reading,⭐⭐⭐,Short Stories,Serious readers of history and epic sagas
To Kill a Mockingbird (Copy 2),Harper Lee,Oprah Winfrey,Feb/6/2024,Feb/18/2024,252,1225,,21%,DNF,⭐,Poetry,"Anyone interested in justice, morality, and empathy"
1984 (Copy 2),George Orwell,Bill Gates,Feb/4/2024,Feb/20/2024,68,324,,21%,Must Read,⭐⭐⭐⭐⭐,Crime,"Readers curious about politics, freedom, and control"
Pride and Prejudice (Copy 2),Jane Austen,Reese Witherspoon,Feb/10/2024,Feb/18/2024,165,328,,50%,Must Read,⭐⭐⭐⭐,Short Stories,Lovers of witty dialogue and classic romance
